ticker,market,currency,rank,source,updated_at,name,trades,last_price,variation
LWSA3.SA,B3,BRL,88,https://www.dadosdemercado.com.br/acoes,2026-05-19 23:31:04,Locaweb,2715900,3.63,"-1,89%"
AZTE3.SA,B3,BRL,89,https://www.dadosdemercado.com.br/acoes,2026-05-19 23:31:04,AZT Energia,2674400,0.21,"+0,00%"
RECV3.SA,B3,BRL,90,https://www.dadosdemercado.com.br/acoes,2026-05-19 23:31:04,PetroRecôncavo,2669500,11.83,"-3,03%"
TEND3.SA,B3,BRL,91,https://www.dadosdemercado.com.br/acoes,2026-05-19 23:31:04,Construtora Tenda,2609200,29.02,"-0,62%"
KLBN3.SA,B3,BRL,92,https://www.dadosdemercado.com.br/acoes,2026-05-19 23:31:04,Klabin,2585700,3.24,"-1,22%"
RAPT4.SA,B3,BRL,93,https://www.dadosdemercado.com.br/acoes,2026-05-19 23:31:04,Randon,2397100,4.89,"-1,81%"
QUAL3.SA,B3,BRL,94,https://www.dadosdemercado.com.br/acoes,2026-05-19 23:31:04,Qualicorp,2345900,1.75,"-2,78%"
SIMH3.SA,B3,BRL,95,https://www.dadosdemercado.com.br/acoes,2026-05-19 23:31:04,Simpar,2306900,8.77,"-2,88%"
ARML3.SA,B3,BRL,96,https://www.dadosdemercado.com.br/acoes,2026-05-19 23:31:04,Armac,2295700,3.28,"-6,55%"
FLRY3.SA,B3,BRL,97,https://www.dadosdemercado.com.br/acoes,2026-05-19 23:31:04,Fleury,2271900,15.32,"-1,92%"
ALPA4.SA,B3,BRL,98,https://www.dadosdemercado.com.br/acoes,2026-05-19 23:31:04,Alpargatas,2046600,11.28,"-0,18%"
DASA3.SA,B3,BRL,99,https://www.dadosdemercado.com.br/acoes,2026-05-19 23:31:04,Dasa,2045400,3.0,"-3,54%"
BRSR6.SA,B3,BRL,100,https://www.dadosdemercado.com.br/acoes,2026-05-19 23:31:04,Banrisul,1968400,14.43,"-0,62%"
